OrderNum	EmpID 	Employee Name	Employee Job Title	Sales Region	OrderDate	OrderType	CustomerType	Customer ID	CustName	CustState	ProdCategory	ProdNumber	ProdName	Quantity	 Price 	Discount	 Order Total 
1105221	900016439	Alyssa Jackson	Sales Associate IV	Northeast	1/3/2021	Retail	Individual	2349	Derk Duddan	New Jersey	Fitness	FT682	Insulated water bottle - 40oz - Green	2	$28.79 	0%	$57.58 
1105222	900012995	Brenda Johnson	Senior Sales Representative	Central East	1/3/2021	Retail	Individual	1212	Ermentrude Hegley	Kentucky	Mineral water	MW132	Mineral Water - Orange -  20oz - case	2	$14.99 	0%	$29.98 
1105223	900012320	Mary Hamilton	Sales Associate	S Central West	1/3/2021	Retail	Individual	3724	Merrill Greenroyd	Arizona	Supplements	SP125	Vitamin B-complex - 100 capsules	1	$13.45 	0%	$13.45 
1105224	900020001	Morten Shivers	Sales Representative	S Central West	1/3/2021	Retail	Individual	2415	Curran MacMichael	Arizona	Supplements	SP303	Multivitamin - 120 capsules	2	$21.60 	0%	$43.20 
1105225	900016320	Paul Turner	Sales Associate II	S Central East	1/3/2021	Retail	Individual	1542	Judi Craddy	Texas	Fitness	FT895	Insulated water bottle - 40oz - Grey	1	$28.79 	0%	$28.79 
1105226	900014621	Shantel Francis	Sales Associate II	Northeast	1/3/2021	Retail	Individual	3906	Geneva Iacivelli	New York	Mineral water	MW252	Mineral Water - Raspberry - 32oz - case	1	$20.99 	0%	$20.99 
1105227	900010428	Cory Hall	Sales Representative	N Central East	1/3/2021	Retail	Individual	1689	Claybourne Andrichuk	Ohio	Mineral water	MW232	Mineral Water - Orange - 32oz - case	1	$20.99 	0%	$20.99 
1105228	900012283	Nicole Hansen	Sales Associate	N Central East	1/3/2021	Retail	Individual	3333	Delila Dabinett	Indiana	Mineral water	MW232	Mineral Water - Orange - 32oz - case	4	$20.99 	0%	$83.96 
1105229	900013621	Hannah Rosenstock	Sales Associate	Southwest	1/3/2021	Retail	Individual	3232	Bentley Vynoll	California	Mineral water	MW262	Mineral Water - Strawberry - 32oz - case	3	$20.99 	0%	$62.97 
1105230	900016625	Marshal Alexander	Sales Representative	Southeast	1/3/2021	Retail	Individual	3063	Karim Coen	Georgia	Supplements	SP120	Multivitamin - 180 capsules	1	$27.50 	0%	$27.50 
1105231	900015105	Sharla Campbell	Sales Representative	Northeast	1/3/2021	Retail	Individual	1878	Jacquie Gethins	Massachusetts	Supplements	SP304	Flaxseed Oil 1000mg - 90 capsules	2	$12.49 	0%	$24.98 
1105232	900013610	Sue Nguyen	Sales Associate I	Northwest	1/4/2021	Retail	Individual	2278	Lem Stenhouse	Washington	Mineral water	MW122	Mineral Water - Blueberry - 32oz - case	2	$20.99 	0%	$41.98 
1105233	900013621	Hannah Rosenstock	Sales Associate	Southwest	1/4/2021	Retail	Individual	2930	Dionne Armytage	California	Supplements	SP306	Vitamin C-1000 mg - 80 tablets	1	$9.49 	0%	$9.49 
1105234	900012283	Nicole Hansen	Sales Associate	N Central East	1/4/2021	Retail	Individual	1565	Fiorenze Uebel	Ohio	Supplements	SP126	Vitamin C-1000 mg - 140 tablets	1	$14.60 	0%	$14.60 
1105235	900019907	Lorrie Ellison	Sales Associate I	Southwest	1/4/2021	Retail	Individual	2668	Warden Schmuhl	California	Supplements	SP126	Vitamin C-1000 mg - 140 tablets	2	$14.60 	0%	$29.20 
1105236	900016320	Paul Turner	Sales Associate II	S Central East	1/4/2021	Retail	Individual	2159	Michael Johannesson	Texas	Supplements	SP123	Magnesium 250 mg - 100 tablets	2	$22.35 	0%	$44.70 
1105237	900016439	Alyssa Jackson	Sales Associate IV	Northeast	1/4/2021	Wholesale	Business	1900	Hauck LLC	New York	Mineral water	MW202	Mineral Water - Natural -  32oz - case	273	$16.99 	11%	"$4,638.16 "
1105238	900012281	Logan Augur	Sales Associate I	S Central West	1/4/2021	Wholesale	Business	2971	Rippin Group	Colorado	Mineral water	MW242	Mineral Water - Peach -32oz - case	148	$20.99 	15%	"$3,106.37 "
1105239	900012995	Brenda Johnson	Senior Sales Representative	Central East	1/4/2021	Retail	Individual	1632	Hyatt Darwent	Virginia	Supplements	SP203	Vitamin B-complex - 160 capsules	2	$19.52 	0%	$39.04 
1105240	900012506	Lisa Sanchez	Sales Associate V	N Central East	1/4/2021	Retail	Individual	1283	August Cumberpatch	Ohio	Supplements	SP203	Vitamin B-complex - 160 capsules	1	$19.52 	0%	$19.52 
1105241	900014621	Shantel Francis	Sales Associate II	Northeast	1/4/2021	Retail	Individual	3687	Amitie Alyokhin	Pennsylvania	Supplements	SP603	Calcium 400 IU - 200 tablets	1	$16.99 	0%	$16.99 
1105242	900012283	Nicole Hansen	Sales Associate	N Central East	1/5/2021	Wholesale	Business	1850	Flatley Inc	Michigan	Mineral water	MW202	Mineral Water - Natural -  32oz - case	181	$16.99 	15%	"$3,075.04 "
1105243	900018213	Tony Hendricks	Senior Sales Representative	Central East	1/5/2021	Retail	Individual	2630	Robin Kidwell	Tennessee	Fitness	FT181	Insulated water bottle - 24oz - Purple	1	$19.99 	0%	$19.99 
1105244	900012203	Christen Barrett	Sales Associate I	S Central East	1/5/2021	Retail	Individual	2598	Waring Pickering	Louisiana	Fitness	FT357	Kettlebell - 25 lb	1	$69.99 	0%	$69.99 
1105245	900012320	Mary Hamilton	Sales Associate	S Central West	1/5/2021	Retail	Individual	3626	Amargo Funcheon	Colorado	Mineral water	MW182	Mineral Water - Mango -  20oz - case	2	$14.99 	0%	$29.98 
1105246	900019907	Lorrie Ellison	Sales Associate I	Southwest	1/5/2021	Retail	Individual	3371	Beret Sheerin	California	Supplements	SP306	Vitamin C-1000 mg - 80 tablets	1	$9.49 	0%	$9.49 
1105247	900019334	Mitch White	Sales Associate I	Southeast	1/5/2021	Retail	Individual	2648	Dieter Coppens	Alabama	Supplements	SP304	Flaxseed Oil 1000mg - 90 capsules	2	$12.49 	0%	$24.98 
1105248	900019334	Mitch White	Sales Associate I	Southeast	1/5/2021	Retail	Individual	3992	Dedie Pabelik	Florida	Fitness	FT895	Insulated water bottle - 40oz - Grey	1	$28.79 	0%	$28.79 
1105249	900010859	Nick Chen	Sales Representative	S Central East	1/5/2021	Retail	Individual	3047	Leif Bleakley	Missouri	Mineral water	MW102	Mineral Water - Natural - 20oz - case	1	$12.99 	0%	$12.99 
1105250	900013621	Hannah Rosenstock	Sales Associate	Southwest	1/5/2021	Retail	Individual	2638	Dena Rosberg	California	Supplements	SP306	Vitamin C-1000 mg - 80 tablets	1	$9.49 	0%	$9.49 
1105251	900016625	Marshal Alexander	Sales Representative	Southeast	1/5/2021	Retail	Individual	3984	Ferd Sline	Georgia	Mineral water	MW222	Mineral Water - Lemon - 32oz - case	2	$20.99 	0%	$41.98 
1105252	900011701	Susan Dixon	Sales Representative	Southeast	1/5/2021	Retail	Individual	1166	Kimberley Knapton	Florida	Fitness	FT172	Insulated water bottle - 24oz - Pink	1	$19.99 	0%	$19.99 
1105253	900019907	Lorrie Ellison	Sales Associate I	Southwest	1/5/2021	Retail	Individual	1323	Vonny Moreton	Nevada	Fitness	FT525	Yoga mat - 3mm	1	$21.99 	0%	$21.99 
1105254	900016625	Marshal Alexander	Sales Representative	Southeast	1/5/2021	Retail	Individual	2711	Clevey Dreng	Florida	Mineral water	MW222	Mineral Water - Lemon - 32oz - case	1	$20.99 	0%	$20.99 
1105255	900015105	Sharla Campbell	Sales Representative	Northeast	1/5/2021	Retail	Individual	3865	Aili Stockey	Massachusetts	Mineral water	MW122	Mineral Water - Blueberry - 32oz - case	2	$20.99 	0%	$41.98 
1105256	900012283	Nicole Hansen	Sales Associate	N Central East	1/6/2021	Retail	Business	3388	Skiles LLC	Illinois	Fitness	FT609	Yoga ball - 55cm	156	$20.79 	0%	"$3,243.24 "
1105257	900013621	Hannah Rosenstock	Sales Associate	Southwest	1/6/2021	Retail	Individual	3537	Duffy Durban	California	Mineral water	MW202	Mineral Water - Natural -  32oz - case	4	$16.99 	0%	$67.96 
1105258	900019856	Henry Rodriguez	Sales Associate I	Southwest	1/6/2021	Retail	Individual	3339	Carma Threlfall	California	Supplements	SP609	Vitamin D3 1000 IU - 160 capsules	1	$8.99 	0%	$8.99 
1105259	900019273	Michelle Howard	Sales Representative	Central East	1/6/2021	Retail	Individual	1183	Ardis Jenoure	Tennessee	Supplements	SP602	Iron 65 mg - 150 capsules	1	$6.95 	0%	$6.95 
1105260	900016625	Marshal Alexander	Sales Representative	Southeast	1/6/2021	Retail	Individual	1635	Hollie Albrecht	Florida	Fitness	FT485	Yoga ball - 65cm	1	$22.79 	0%	$22.79 
1105261	900015105	Sharla Campbell	Sales Representative	Northeast	1/6/2021	Retail	Individual	4088	Drona Levermore	New York	Mineral water	MW152	Mineral Water - Raspberry -  20oz - case	2	$14.99 	0%	$29.98 
1105262	900010453	Sean Fetterman	Senior Sales Representative	Central East	1/6/2021	Retail	Individual	3994	Ingaberg MacKeogh	District of Columbia	Supplements	SP303	Multivitamin - 120 capsules	1	$21.60 	0%	$21.60 
1105263	900011701	Susan Dixon	Sales Representative	Southeast	1/6/2021	Retail	Individual	3304	Roger Gilbee	Alabama	Supplements	SP607	Vitamin B-complex - 200 capsules	1	$24.10 	0%	$24.10 
1105264	900012506	Lisa Sanchez	Sales Associate V	N Central East	1/6/2021	Wholesale	Business	1947	Oberbrunner Group	Michigan	Fitness	FT139	Insulated water bottle - 24oz -Blue	223	$19.99 	14%	"$4,457.63 "
1105265	900010428	Cory Hall	Sales Representative	N Central East	1/7/2021	Retail	Business	2903	Beezwax Inc	Ohio	Fitness	FT434	Insulated water bottle - 24oz - Grey	300	$19.99 	0%	"$5,997.00 "
1105266	900017067	Christy Beedom	Senior Sales Representative	Southwest	1/7/2021	Retail	Individual	1239	Duffie Wolton	California	Supplements	SP305	Magnesium 250 mg - 160 tablets	2	$32.65 	0%	$65.30 
1105267	900013621	Hannah Rosenstock	Sales Associate	Southwest	1/7/2021	Retail	Individual	3652	Joycelin Colthurst	California	Fitness	FT644	Insulated water bottle - 40oz - Pink	1	$28.79 	0%	$28.79 
1105268	900019856	Henry Rodriguez	Sales Associate I	Southwest	1/7/2021	Retail	Individual	2724	Chev Lisett	California	Mineral water	MW162	Mineral Water - Strawberry -  20oz - case	2	$14.99 	0%	$29.98 
1105269	900019856	Henry Rodriguez	Sales Associate I	Southwest	1/7/2021	Retail	Individual	2178	Chrysler Chadwick	California	Supplements	SP603	Calcium 400 IU - 200 tablets	1	$16.99 	0%	$16.99 
1105270	900012283	Nicole Hansen	Sales Associate	N Central East	1/7/2021	Retail	Individual	3358	Ravid Scoines	Wisconsin	Supplements	SP125	Vitamin B-complex - 100 capsules	2	$13.45 	0%	$26.90 
1105271	900010836	Constantine Acosta	Senior Sales Representative	Northwest	1/7/2021	Retail	Individual	2327	Germaine Farran	Idaho	Supplements	SP204	Vitamin D3 1000 IU - 100 capsules	2	$6.99 	0%	$13.98 
1105272	900013621	Hannah Rosenstock	Sales Associate	Southwest	1/7/2021	Retail	Individual	1614	Filide Bolitho	California	Fitness	FT350	Kettlebell - 30 lb	1	$79.99 	0%	$79.99 
1105273	900016415	Marsha Green	Sales Representative	Northwest	1/7/2021	Retail	Individual	1129	Yorgos Dunton	Connecticut	Mineral water	MW112	Mineral Water - Blueberry -  20oz - case	1	$14.99 	0%	$14.99 
1105274	900010898	Dana Hart	Sales Associate II	Southwest	1/7/2021	Retail	Individual	1195	Debera McKinlay	California	Fitness	FT434	Insulated water bottle - 24oz - Grey	1	$19.99 	0%	$19.99 
1105275	900012320	Mary Hamilton	Sales Associate	S Central West	1/7/2021	Wholesale	Business	1650	Pollich Group	Arizona	Mineral water	MW282	Mineral Water - Mango - 32oz - case	276	$20.99 	14%	"$5,793.10 "
1105276	900012995	Brenda Johnson	Senior Sales Representative	Central East	1/8/2021	Wholesale	Business	3713	Hansen Group	Virginia	Mineral water	MW152	Mineral Water - Raspberry -  20oz - case	167	$14.99 	6%	"$2,503.27 "
1105277	900019019	Tiffany Cooper	Senior Sales Associate	S Central East	1/8/2021	Retail	Individual	2253	Far Pow	Mississippi	Fitness	FT344	Insulated water bottle - 40oz - Purple	2	$28.79 	0%	$57.58 
1105278	900019019	Tiffany Cooper	Senior Sales Associate	S Central East	1/8/2021	Retail	Individual	1268	Skippie Anthill	Texas	Mineral water	MW262	Mineral Water - Strawberry - 32oz - case	3	$20.99 	0%	$62.97 
1105279	900019334	Mitch White	Sales Associate I	Southeast	1/8/2021	Retail	Individual	2167	Lenci Tomovic	Alabama	Supplements	SP202	Iron 65 mg - 80 capsules	3	$4.75 	0%	$14.25 
1105280	900016625	Marshal Alexander	Sales Representative	Southeast	1/8/2021	Retail	Individual	1826	Darrelle Coughan	Georgia	Supplements	SP607	Vitamin B-complex - 200 capsules	1	$24.10 	0%	$24.10 
1105281	900018684	Vincent Wright	Sales Associate IV	N Central East	1/8/2021	Retail	Individual	2264	Malvin Chesman	Illinois	Fitness	FT280	Slam ball - 5 lb	1	$43.95 	0%	$43.95 
1105282	900018684	Vincent Wright	Sales Associate IV	N Central East	1/8/2021	Retail	Individual	3519	Myrlene Knyvett	Kansas	Mineral water	MW182	Mineral Water - Mango -  20oz - case	3	$14.99 	0%	$44.97 
1105283	900015961	Wynona Smith	Sales Associate III	Northeast	1/8/2021	Retail	Individual	3926	Martie Spittall	New York	Supplements	SP123	Magnesium 250 mg - 100 tablets	4	$22.35 	0%	$89.40 
1105284	900013621	Hannah Rosenstock	Sales Associate	Southwest	1/8/2021	Retail	Individual	1521	Staci Zollner	California	Mineral water	MW152	Mineral Water - Raspberry -  20oz - case	2	$14.99 	0%	$29.98 
1105285	900012283	Nicole Hansen	Sales Associate	N Central East	1/8/2021	Retail	Individual	1582	Hamid Dunford	Kansas	Mineral water	MW222	Mineral Water - Lemon - 32oz - case	6	$20.99 	0%	$125.94 
1105286	900017953	Carrie Jordan	Sales Associate I	S Central West	1/9/2021	Wholesale	Business	1161	Goldner Inc	Colorado	Fitness	FT976	Insulated water bottle - 24oz - Green	95	$19.99 	14%	"$1,898.91 "
1105287	900019019	Tiffany Cooper	Senior Sales Associate	S Central East	1/9/2021	Retail	Individual	4003	Calla Bonhan	Missouri	Supplements	SP126	Vitamin C-1000 mg - 140 tablets	1	$14.60 	0%	$14.60 
1105288	900016439	Alyssa Jackson	Sales Associate IV	Northeast	1/9/2021	Retail	Individual	2993	Evanne Bruce	New York	Fitness	FT530	Resistance bands - 30 lb	1	$12.99 	0%	$12.99 
1105289	900017067	Christy Beedom	Senior Sales Representative	Southwest	1/9/2021	Retail	Individual	1523	Marcella Patey	California	Mineral water	MW132	Mineral Water - Orange -  20oz - case	2	$14.99 	0%	$29.98 
1105290	900012349	Steve Gordon	Sales Associate I	Southeast	1/9/2021	Retail	Individual	3881	Thatcher McQuillan	Florida	Supplements	SP201	Calcium 400 IU - 140 tablets	1	$12.99 	0%	$12.99 
1105291	900012281	Logan Augur	Sales Associate I	S Central West	1/9/2021	Retail	Individual	4080	Tracie Pegden	Colorado	Supplements	SP125	Vitamin B-complex - 100 capsules	2	$13.45 	0%	$26.90 
1105292	900020001	Morten Shivers	Sales Representative	S Central West	1/9/2021	Retail	Individual	3325	Gregor Renison	Colorado	Fitness	FT895	Insulated water bottle - 40oz - Grey	2	$28.79 	0%	$57.58 
1105293	900016320	Paul Turner	Sales Associate II	S Central East	1/9/2021	Retail	Individual	2194	Marylee Gemmill	Louisiana	Mineral water	MW122	Mineral Water - Lemon -  20oz - case	2	$14.99 	0%	$29.98 
1105294	900012349	Steve Gordon	Sales Associate I	Southeast	1/10/2021	Wholesale	Business	2925	Hilpert Group	Florida	Fitness	FT525	Yoga mat - 3mm	77	$21.99 	10%	"$1,693.13 "
1105295	900019019	Tiffany Cooper	Senior Sales Associate	S Central East	1/10/2021	Retail	Individual	2523	Gan Philipsson	Oklahoma	Mineral water	MW232	Mineral Water - Orange - 32oz - case	2	$20.99 	0%	$41.98 
1105296	900012203	Christen Barrett	Sales Associate I	S Central East	1/10/2021	Retail	Individual	2901	Chev Rubbens	Texas	Supplements	SP125	Vitamin B-complex - 100 capsules	1	$13.45 	0%	$13.45 
1105297	900012203	Christen Barrett	Sales Associate I	S Central East	1/10/2021	Retail	Individual	2880	Sim Bowler	Texas	Supplements	SP602	Iron 65 mg - 150 capsules	1	$6.95 	0%	$6.95 
1105298	900015003	Cynthia Cash	Sales Associate III	Southeast	1/10/2021	Retail	Individual	3417	Debor Agronski	Florida	Supplements	SP305	Magnesium 250 mg - 160 tablets	2	$32.65 	0%	$65.30 
1105299	900011079	Marla Phifer	Sales Representative	Southwest	1/10/2021	Retail	Individual	2652	Whitby MacDowal	California	Supplements	SP602	Iron 65 mg - 150 capsules	2	$6.95 	0%	$13.90 
1105300	900015961	Wynona Smith	Sales Associate III	Northeast	1/10/2021	Retail	Individual	1438	Francoise Langelaan	Massachusetts	Fitness	FT682	Insulated water bottle - 40oz - Green	2	$28.79 	0%	$57.58 
1105301	900018712	Dru Clingman	Sales Associate II	S Central East	1/11/2021	Retail	Individual	4093	Shirl Pumfrey	Louisiana	Fitness	FT727	Resistance bands - 10 lb	1	$10.99 	0%	$10.99 
1105302	900011701	Susan Dixon	Sales Representative	Southeast	1/11/2021	Retail	Individual	1315	Grady Shand	Florida	Mineral water	MW202	Mineral Water - Natural -  32oz - case	3	$16.99 	0%	$50.97 
1105303	900019907	Lorrie Ellison	Sales Associate I	Southwest	1/11/2021	Retail	Individual	3384	Geoffry Bonde	California	Supplements	SP609	Vitamin D3 1000 IU - 160 capsules	2	$8.99 	0%	$17.98 
1105304	900019907	Lorrie Ellison	Sales Associate I	Southwest	1/11/2021	Retail	Individual	3384	Geoffry Bonde	California	Supplements	SP202	Iron 65 mg - 80 capsules	1	$4.75 	0%	$4.75 
1105305	900019334	Mitch White	Sales Associate I	Southeast	1/11/2021	Retail	Individual	2915	Baron Beathem	Georgia	Fitness	FT870	Resistance bands - set of 5	2	$55.00 	0%	$110.00 
1105306	900012746	Becky Allen	Senior Sales Representative	N Central East	1/12/2021	Retail	Individual	1794	Tonia Zanni	Minnesota	Mineral water	MW262	Mineral Water - Strawberry - 32oz - case	1	$20.99 	0%	$20.99 
1105307	900011701	Susan Dixon	Sales Representative	Southeast	1/12/2021	Retail	Individual	1315	Grady Shand	Florida	Mineral water	MW132	Mineral Water - Orange -  20oz - case	2	$14.99 	0%	$29.98 
1105308	900010859	Nick Chen	Sales Representative	S Central East	1/12/2021	Retail	Individual	1861	Shaun Souttar	Texas	Supplements	SP609	Vitamin D3 1000 IU - 160 capsules	1	$8.99 	0%	$8.99 
1105309	900015105	Sharla Campbell	Sales Representative	Northeast	1/12/2021	Retail	Individual	2583	Ezmeralda Gert	New York	Supplements	SP609	Vitamin D3 1000 IU - 160 capsules	1	$8.99 	0%	$8.99 
1105310	900016111	Edward Loveless	Sales Associate I	N Central West	1/13/2021	Retail	Business	1815	Breitenberg Inc	Montana	Supplements	SP126	Vitamin C-1000 mg - 140 tablets	355	$14.60 	0%	"$5,183.00 "
1105311	900016625	Marshal Alexander	Sales Representative	Southeast	1/13/2021	Wholesale	Business	1446	Considine Group	Florida	Mineral water	MW132	Mineral Water - Orange -  20oz - case	274	$14.99 	10%	"$4,107.16 "
1105312	900011701	Susan Dixon	Sales Representative	Southeast	1/13/2021	Retail	Individual	3248	Franklin Grieswood	Florida	Supplements	SP126	Vitamin C-1000 mg - 140 tablets	2	$14.60 	0%	$29.20 
1105313	900013621	Hannah Rosenstock	Sales Associate	Southwest	1/13/2021	Retail	Individual	1537	Miguel McCobb	California	Supplements	SP607	Vitamin B-complex - 200 capsules	2	$24.10 	0%	$48.20 
1105314	900015499	Lauren Skip	Senior Sales Associate	N Central East	1/13/2021	Retail	Individual	2033	Dugald Shuter	Ohio	Fitness	FT181	Insulated water bottle - 24oz - Purple	1	$19.99 	0%	$19.99 
1105315	900019907	Lorrie Ellison	Sales Associate I	Southwest	1/13/2021	Retail	Individual	2218	Hesther Blaxland	California	Fitness	FT139	Insulated water bottle - 24oz -Blue	1	$19.99 	0%	$19.99 
1105316	900014621	Shantel Francis	Sales Associate II	Northeast	1/13/2021	Retail	Individual	2633	Egbert Cole	Connecticut	Mineral water	MW102	Mineral Water - Natural - 20oz - case	3	$12.99 	0%	$38.97 
1105317	900016415	Marsha Green	Sales Representative	Northwest	1/13/2021	Retail	Individual	1151	Thibaud Elloy	Alaska	Supplements	SP126	Vitamin C-1000 mg - 140 tablets	1	$14.60 	0%	$14.60 
1105318	900018684	Vincent Wright	Sales Associate IV	N Central East	1/13/2021	Retail	Individual	1601	Nicolais Yerson	Indiana	Supplements	SP603	Calcium 400 IU - 200 tablets	2	$16.99 	0%	$33.98 
1105319	900016625	Marshal Alexander	Sales Representative	Southeast	1/13/2021	Retail	Individual	3559	Kendal Utterson	Florida	Mineral water	MW272	Mineral Water - Cranberry - 32oz - case	5	$20.99 	0%	$104.95 
1105320	900012506	Lisa Sanchez	Sales Associate V	N Central East	1/14/2021	Wholesale	Business	2318	Toy LLC	Illinois	Supplements	SP203	Vitamin B-complex - 160 capsules	99	$19.52 	15%	"$1,932.33 "
1105321	900015961	Wynona Smith	Sales Associate III	Northeast	1/14/2021	Wholesale	Business	2407	Ernser Inc	Vermont	Supplements	SP121	Flaxseed Oil 1000mg - 120 capsules	163	$16.99 	14%	"$2,769.23 "
1105322	900013649	John Ashwin	Senior Sales Representative	Central East	1/14/2021	Retail	Individual	2542	Kalindi Brimblecomb	District of Columbia	Fitness	FT981	Kettlebell - 20 lb	1	$59.99 	0%	$59.99 
1105323	900015499	Lauren Skip	Senior Sales Associate	N Central East	1/14/2021	Retail	Individual	3674	Donna Glasman	Minnesota	Mineral water	MW182	Mineral Water - Mango -  20oz - case	1	$14.99 	0%	$14.99 
1105324	900019334	Mitch White	Sales Associate I	Southeast	1/14/2021	Retail	Individual	2591	Carl Dennistoun	Alabama	Mineral water	MW122	Mineral Water - Blueberry - 32oz - case	1	$20.99 	0%	$20.99 
